A2,A3,b2,b3,Pg,numax,sigmaEnv,Teff,[Fe/H],Phase,KIC,mass,rad
11050.5905453125,1914.0965730999399,12.7157998895493,43.5215889059676,3500.09651791528,40.5706018990739,6.66534103273055,4998.0,-0.11,2.0,1864959,1.54,11.22
3416.37864585268,937.0910309071112,20.880532245587894,77.5107619547547,1689.52922643819,82.4338610237549,7.43889834421809,4857.0,-0.1,1.0,1865102,1.16,6.9
6980.3627498285205,1632.89248956816,15.0316609001782,50.8861069798051,2951.59025895766,52.9150323825179,6.66417697446463,4772.0,-0.21,1.0,1865262,1.2,8.76
126000.743265583,55876.237306060895,4.35376039791633,11.316856330448804,94857.2959312289,12.368767991312001,1.7498386289668,4386.0,-0.06,1.0,1865595,1.18,18.26
5595.97517696218,1211.74898442753,16.5167709154655,58.3020223848716,1794.24897912594,63.627889240192005,8.383306709092011,4752.0,0.03,1.0,1865747,1.43,8.76
9721.41642557528,1729.36182785626,13.9416178920337,42.68922388940921,3544.13016809516,38.0459596181899,6.83899276347367,4803.0,-0.51,2.0,1866137,1.45,11.19
1408.97545450172,330.515121260245,29.3345754537175,96.52659809412779,482.79772099469,106.07459039109399,13.872581579854801,4813.0,0.18,1.0,1867706,1.6,7.18
28963.1894433474,4647.70230740112,9.38399427352952,33.3626539057301,6604.37529212019,31.4190704319941,6.50718029090371,4633.0,0.36,2.0,1868101,1.23,11.55
12383.946376194199,2258.59712107397,12.602137377626299,41.2011446238929,3083.2058323836304,41.1703106694085,6.16353051285995,4798.0,-0.29,1.0,1868303,1.22,10.04
533.760642951569,102.820990786971,54.8530286652946,251.626352598983,244.881866126553,191.10856327791697,14.203125827662001,4894.0,0.09,1.0,1870196,1.27,4.72
579.932992949576,132.266597419395,48.054855087516,178.643888828269,319.181332398596,180.549956080283,13.351091272020499,4937.0,-0.37,1.0,1870495,1.02,4.35
8304.74461506038,1835.11085316697,15.040143408928099,53.988335367194395,3131.3203673749395,58.633352840158395,7.680206170075881,4585.0,0.34,1.0,1871314,1.36,9.02
22549.6409231085,6155.55211568708,9.65960134525157,32.9150704876578,7216.28142545228,33.9758903887812,5.47016092937057,4780.0,0.28,2.0,1871465,1.2,11.0
615.983851312689,174.720731956371,49.145055824913214,216.830200889411,486.27876019609397,183.203418005165,11.060013459767099,4845.0,-0.09,1.0,1871571,1.16,4.64
29655.0304548611,5576.52768133209,9.67843789031958,30.6365346261414,7060.78720852668,27.0473374866855,5.61112838829184,4778.0,-0.31,2.0,1871631,0.89,10.69
4930.68824563857,1069.28252187102,19.4230646262937,62.626964587542716,2021.7108330397305,66.3326744132902,8.49525283179621,4674.0,0.21,1.0,1871927,1.27,8.15
2150.41174931998,489.586961237377,22.067878336016502,73.4022244345651,592.732876522966,77.051213293825,11.548951243552802,4975.0,0.15,2.0,1872166,2.12,9.53
2201.343342424311,344.879373455468,23.2507454615764,76.3083899649583,653.244203320894,70.3186870567311,11.4308478584742,5204.0,0.19,2.0,1872210,2.48,10.57
969.937681577077,210.77707106174,30.839025721558198,97.57255714699949,168.547465717146,104.850014757621,15.6732783060956,5044.0,-0.19,1.0,1872375,1.87,7.76
27754.190763141,4459.02861186315,10.746196105319099,32.6433284750411,9601.32186975124,31.408484641791606,5.569503368644531,4795.0,0.3,2.0,1872421,1.03,10.62
6664.09710016531,1470.14850824332,16.602164263545802,54.793898933215104,2615.7799577579,57.20881281067589,7.87760794943401,4657.0,0.17,1.0,1872469,1.3,8.87
37014.8108650614,8253.428785679009,8.06413107930322,25.948486041006998,13994.359449925701,25.7552274633612,3.88363929703943,4543.0,-0.29,1.0,1872517,0.98,11.55
13411.824213561498,2706.44196444844,12.028613203502099,40.71983304536221,4511.93876151031,41.2901780871919,6.30532381272784,4768.0,-0.25,2.0,1872842,1.52,11.15
17997.6306964649,4955.31670669186,10.1482449000044,30.524722915307997,8827.95575215927,30.3994308240123,5.9217863478813895,4810.0,-0.12,2.0,1872869,1.15,11.17
14995.1769053157,3494.20874115847,9.31953394588642,34.9575034733314,4612.65601904539,36.417255297810996,4.85450359333282,4857.0,-0.37,1.0,1873198,1.25,10.72
37485.9558151346,7926.553346866841,8.38009019122713,28.933805045679804,10734.5408009731,30.178150743304897,4.58254666364477,4743.0,-0.16,1.0,1873204,1.07,11.04
13507.0968446173,2102.70830097402,12.0095585386254,36.3928891433922,6921.647682184561,29.3338806893825,4.86310221051788,4971.0,-0.56,2.0,1873510,1.2,11.49
45500.8466258482,9008.42795240057,9.258013225734633,29.5864190400311,13288.0177248605,30.271541286329107,5.22704385894949,4817.0,0.32,2.0,1873898,0.9,10.03
1116.36647875983,254.43375192229198,37.2029953375012,156.85287525040502,394.137499451235,139.79367204767598,14.240493371772802,4614.0,0.37,1.0,1873986,1.24,5.59
36844.5536536287,5475.031598538821,7.82367597458463,27.814192930317198,10818.7919802167,24.374919006767396,4.08313842185674,4824.0,-0.27,2.0,1995358,0.97,11.77
19660.663631062198,6438.47852255802,9.881672453821759,29.920115043203307,9127.25167433454,28.2153804460979,5.01421618468342,4769.0,-0.3,2.0,1995522,0.81,9.99
7174.98003274624,1596.4992001887101,14.0478850036864,45.5190987229,2220.57817620667,45.77005720490789,6.970831400509289,4899.0,-0.09,2.0,1995859,1.69,11.08
3015.93225607682,630.821849733061,23.690555020551802,79.3939132239062,1059.14836341774,83.53600231164799,10.454536695237199,4796.0,-0.04,1.0,1996078,1.23,7.12
1496.2790316226,378.93509420400596,32.5830088166757,115.80508960753299,626.91431928452,126.73247369739401,11.993597133171,4764.0,0.2,1.0,1996415,1.17,5.63
