KIC,Huber_Teff,Huber_e_Teff,Huber_logg,Huber_e_logg,Huber_MH,Huber_e_MH,TESS_Teff,TESS_e_Teff,TESS_logg,TESS_e_logg,TESS_MH,TESS_e_MH
11967438,6261,192,4.483,0.4,-0.251,-0.251,5714.6,58.58,4.01716,nan,-0.421,0.056
12509355,5163,156,2.401,0.03,-0.353,-0.353,4897.69,88.3834,nan,nan,-0.426005,0.00941804
10812191,6539,228,4.496,0.4,-0.257,-0.257,6209.0,122.0,4.06235,nan,nan,nan
11499324,4148,125,4.434,0.4,-0.383,-0.383,4512.69,42.73,4.8718,nan,-0.231,0.041
12453592,3603,126,4.788,0.4,0.0,0.0,3627.0,157.0,4.6477,0.012951,nan,nan
5457182,4955,156,2.419,0.03,-0.209,-0.209,4644.34,79.8691,nan,nan,0.0781303,0.00813823
5389184,5870,187,4.27,0.4,0.028,0.028,5683.0,122.0,3.44913,nan,nan,nan
1026287,4989,143,4.548,0.4,-0.089,-0.089,4800.11,233.94,4.50884,nan,-0.134,0.22
11775251,7354,257,4.145,0.4,-0.224,-0.224,7059.17,142.938,4.15618,0.0899981,-0.0981667,0.00998146
7691846,6523,205,4.771,0.4,-0.062,-0.062,6366.0,122.0,4.20974,nan,nan,nan
2309049,6089,168,4.442,0.4,-0.287,-0.287,5824.76,112.894,4.11622,0.0755313,0.043,0.02
8869611,5024,146,2.899,0.03,-0.076,-0.076,4698.52,70.3997,nan,nan,0.00421968,0.00779717
8297726,5754,179,4.377,0.4,-0.19,-0.19,5519.0,122.0,4.45581,nan,nan,nan
8618278,6736,199,4.429,0.4,-0.056,-0.056,6484.12,52.06,4.3882,nan,-0.341,0.05
11701494,6280,189,4.455,0.4,-0.038,-0.038,5916.0,123.0,3.82023,nan,nan,nan
10130884,5986,209,4.356,0.4,-0.3,-0.3,5961.0,122.0,4.2213,nan,nan,nan
12168965,6386,237,4.421,0.4,-0.019,-0.019,5917.0,123.0,4.09384,nan,nan,nan
11030524,5038,147,2.894,0.03,-0.579,-0.579,4827.79,76.5655,nan,nan,-0.207633,0.00832471
9940927,5660,159,4.661,0.4,-0.103,-0.103,5500.0,122.0,4.11959,nan,nan,nan
8073877,5078,148,4.663,0.4,-0.082,-0.082,4847.0,122.0,4.58191,nan,nan,nan
6221507,6387,187,4.673,0.4,-0.116,-0.116,6301.0,122.0,4.32106,nan,nan,nan
5563676,5312,175,3.675,0.4,-0.121,-0.121,5302.72,33.25,nan,nan,-0.038,0.031
3645171,5289,185,4.704,0.4,-0.279,-0.279,5071.0,122.0,4.53787,nan,nan,nan
11559981,5785,174,4.448,0.4,-0.169,-0.169,5428.0,122.0,4.19927,nan,nan,nan
2851750,6572,209,4.228,0.4,-0.246,-0.246,6207.74,20.4732,4.14011,nan,-0.0839,0.0189737
5371758,4924,146,3.615,0.4,-0.401,-0.401,4783.0,122.0,nan,nan,nan,nan
10581215,5750,180,4.6,0.4,0.179,0.179,5476.0,122.0,4.23275,nan,nan,nan
4077006,6385,195,4.182,0.4,-0.29,-0.29,6252.0,131.406,4.00525,0.0861131,nan,nan
5008936,4876,150,2.711,0.03,0.013,0.013,4631.6,71.347,nan,nan,0.238294,0.00726241
5192788,5682,198,4.554,0.4,0.037,0.037,5415.0,122.0,4.20227,nan,nan,nan
11656301,4567,130,4.488,0.4,-0.512,-0.512,4475.33,64.42,4.42861,nan,-0.138,0.062
6436505,5496,161,4.901,0.4,-0.206,-0.206,5208.0,123.0,4.63538,nan,nan,nan
10880207,5976,176,4.442,0.4,-0.58,-0.58,5802.98,242.25,3.94594,nan,-0.578,0.226
8892753,5652,171,4.5,0.4,-0.212,-0.212,5571.0,122.0,4.21766,nan,nan,nan
8847250,5460,160,4.556,0.4,-0.291,-0.291,6049.42,45.18,nan,nan,0.207,0.043
2446733,5312,149,4.781,0.4,-0.482,-0.482,5346.0,122.0,4.60353,nan,nan,nan
6188207,6411,224,3.925,0.4,0.06,0.06,6981.0,126.418,4.18929,0.0886456,nan,nan
10909963,4325,128,4.482,0.4,0.079,0.079,4000.52,123.98,nan,nan,-0.388,0.119
10123398,6058,212,4.488,0.4,-0.35,-0.35,nan,nan,nan,nan,nan,nan
8678461,5845,168,5.059,0.4,-0.181,-0.181,5646.0,124.0,4.45257,nan,nan,nan
8882539,6130,173,4.274,0.4,-0.086,-0.086,5989.0,128.064,4.45983,0.0793417,nan,nan
5960718,4615,132,4.647,0.4,-0.131,-0.131,4534.0,122.0,4.60912,nan,nan,nan
8167974,5919,184,4.506,0.4,-0.197,-0.197,5721.0,123.0,4.02548,nan,nan,nan
2557556,4773,143,2.729,0.03,0.242,0.242,4547.0,122.0,nan,nan,nan,nan
11141349,5006,175,4.535,0.4,-0.52,-0.52,4823.5,101.62,nan,nan,-0.263,0.098
7631783,9469,331,3.954,0.4,-0.125,-0.125,9017.0,154.046,4.22426,0.0720476,nan,nan
5177020,7703,269,3.728,0.4,-0.187,-0.187,7289.92,111.822,4.04198,0.0846908,-0.0941634,0.00957026
7610008,4660,135,2.432,0.03,0.323,0.323,4525.18,45.8371,nan,nan,0.418212,0.00476674
7822233,5651,197,4.456,0.4,-0.121,-0.121,5516.0,122.0,4.08812,nan,nan,nan
5253641,5752,175,4.441,0.4,-0.567,-0.567,5625.0,123.0,4.01896,nan,nan,nan
8149139,5970,173,4.973,0.4,-0.069,-0.069,5681.0,122.0,4.35017,nan,nan,nan
12216931,5706,180,4.297,0.4,-0.048,-0.048,5341.0,122.0,3.76506,nan,nan,nan
11822156,5283,184,4.498,0.4,-0.341,-0.341,5035.0,124.0,nan,nan,nan,nan
